sort_order,YEAR,MONTH,DAY,SITE,OBSERVER,BUDDY,SIDE,ZONE,LEVEL,TRANSECT,DEPTH_M,DEPTH_FT,VIS_M,SURGE,HEADING,TEMP_C,TEMP_F,SPECIES,SEGMENT,QUANTITY,SIZE (MIN),SIZE (MAX),Cntrl+a,Notes,,,,,,,,,,,,,,,,,,,,
1,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3.3,L,NW,,,SEBYT,ALL,97,6,8,,,,,,,,,,,,,,,,,,,,,,
2,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3.3,L,NW,,,SEME,ALL,3,35,35,,,,,,,,,,,,,,,,,,,,,,
3,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3.3,L,NW,,,SEME,ALL,4,30,30,,,,,,,,,,,,,,,,,,,,,,
4,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3.3,L,NW,,,SEME,ALL,3,25,25,,,,,,,,,,,,,,,,,,,,,,
5,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3.3,L,NW,,,EMLA,ALL,2,8,8,,,,,,,,,,,,,,,,,,,,,,
6,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,1,,30,3.3,L,NW,,,RHNI,ALL,2,7,7,,,,,,,,,,,,,,,,,,,,,,
7,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,2,,30,3.3,L,NW,,,SEBYT,ALL,192,6,8,,,,,,,,,,,,,,,,,,,,,,
8,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,2,,30,3.3,L,NW,,,SEPI,ALL,1,8,8,,,,,,,,,,,,,,,,,,,,,,
9,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,2,,30,3.3,L,NW,,,OPEL,ALL,1,75,75,,,,,,,,,,,,,,,,,,,,,,
10,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,2,,30,3.3,L,NW,,,HEDE,ALL,1,25,25,,,,,,,,,,,,,,,,,,,,,,
11,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,2,,30,3.3,L,NW,,,HEDE,ALL,2,55,60,,,,,,,,,,,,,,,,,,,,,,
12,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,3,,30,3.3,L,NW,,,SEBYT,ALL,293,6,8,,,,,,,,,,,,,,,,,,,,,,
13,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,3,,30,3.3,L,NW,,,HEDE,ALL,2,60,60,,,,,,,,,,,,,,,,,,,,,,
14,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,3,,30,3.3,L,NW,,,AUFL,ALL,8,6,6,,,,,,,,,,,,,,,,,,,,,,
15,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,4,,30,3.3,L,NW,,,SEBYT,ALL,194,6,8,,,,,,,,,,,,,,,,,,,,,,
16,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,4,,30,3.3,L,NW,,,RHNI,ALL,1,8,8,,,,,,,,,,,,,,,,,,,,,,
17,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,4,,30,3.3,L,NW,,,HEDE,ALL,1,25,25,,,,,,,,,,,,,,,,,,,,,,
18,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,4,,30,3.3,L,NW,,,HEDE,ALL,1,35,35,,,,,,,,,,,,,,,,,,,,,,
19,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,4,,30,3.3,L,NW,,,HEDE,ALL,1,45,45,,,,,,,,,,,,,,,,,,,,,,
20,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,4,,30,3.3,L,NW,,,HEDE,ALL,1,50,50,,,,,,,,,,,,,,,,,,,,,,
21,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,4,,30,3.3,L,NW,,,HEDE,ALL,1,60,60,,,,,,,,,,,,,,,,,,,,,,
22,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,5,,30,3.3,L,NW,,,SEBYT,ALL,119,6,8,,,,,,,,,,,,,,,,,,,,,,
23,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,5,,30,3.3,L,NW,,,EMLA,ALL,1,8,8,,,,,,,,,,,,,,,,,,,,,,
24,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,5,,30,3.3,L,NW,,,EMLA,ALL,1,25,25,,,,,,,,,,,,,,,,,,,,,,
25,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,5,,30,3.3,L,NW,,,AUFL,ALL,2,5,5,,,,,,,,,,,,,,,,,,,,,,
26,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,5,,30,3.3,L,NW,,,RHNI,ALL,2,6,6,,,,,,,,,,,,,,,,,,,,,,
27,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,6,,30,3.3,L,NW,,,SEBYT,ALL,107,6,8,,,,,,,,,,,,,,,,,,,,,,
28,2016,8,12,Neah Bay,Greg Williams,Chris Harvey,1,10,BOT,6,,30,3.3,L,NW,,,AUFL,ALL,16,5,10,,,,,,,,,,,,,,,,,,,,,,
